label_number,cost,epsilon,gamma,pearson,spearman
CD4.T.cells,768,5e-5,1e-5,0.9873657599351432,0.8674831716290277
CD4.T.cells,256,5e-4,1e-5,0.9887867534426191,0.8695995802460764
CD4.T.cells,384,5e-4,1e-5,0.988254172750787,0.8693643051330007
CD4.T.cells,512,5e-4,1e-5,0.9878999822959217,0.8685896724805273
CD4.T.cells,768,5e-4,1e-5,0.9870779827662416,0.8674065456061512
CD4.T.cells,256,5e-6,1e-5,0.9883081722713781,0.8689631159341737
CD4.T.cells,384,5e-6,1e-5,0.9877170536104775,0.868777408237951
CD4.T.cells,512,5e-6,1e-5,0.9874194873992593,0.8681580623636856
CD4.T.cells,768,5e-6,1e-5,0.9872128871586918,0.867241265289525
CD4.T.cells,256,0.005,1e-4,0.9893980348321252,0.866899110016907
CD4.T.cells,384,0.005,1e-4,0.9894670214279989,0.867006603931813
CD4.T.cells,512,0.005,1e-4,0.9894670214279989,0.867006603931813
CD4.T.cells,768,0.005,1e-4,0.9894670214279989,0.867006603931813
CD4.T.cells,256,0.05,1e-4,0.9887871883003503,0.8701861769346982
CD4.T.cells,384,0.05,1e-4,0.9887871883003503,0.8701861769346982
CD4.T.cells,512,0.05,1e-4,0.9887871883003503,0.8701861769346982
CD4.T.cells,768,0.05,1e-4,0.9887871883003503,0.8701861769346982
CD4.T.cells,256,5e-5,1e-4,0.9844886975390368,0.8652960477201026
CD4.T.cells,384,5e-5,1e-4,0.9819287875316625,0.8626141702756935
CD4.T.cells,512,5e-5,1e-4,0.9800375608376566,0.8605347871180705
CD4.T.cells,768,5e-5,1e-4,0.9773235141501471,0.8574186043702237
CD4.T.cells,256,5e-4,1e-4,0.9842251799799444,0.8651819759488013
CD4.T.cells,384,5e-4,1e-4,0.9812184834299795,0.8618716263547225
CD4.T.cells,512,5e-4,1e-4,0.9789837978524621,0.8593729749000664
CD4.T.cells,768,5e-4,1e-4,0.9761973650556502,0.8564101309242741
CD4.T.cells,256,5e-6,1e-4,0.9845128467483308,0.865317722624188
CD4.T.cells,384,5e-6,1e-4,0.981636205704342,0.8620931987121835
CD4.T.cells,512,5e-6,1e-4,0.9799773540020658,0.8602455482317884
CD4.T.cells,768,5e-6,1e-4,0.9770553463993236,0.8571236415480521
CD4.T.cells,256,0.005,0.001,0.992192299079256,0.8715202476009607
CD4.T.cells,384,0.005,0.001,0.992192299079256,0.8715202476009607
CD4.T.cells,512,0.005,0.001,0.992192299079256,0.8715202476009607
CD4.T.cells,768,0.005,0.001,0.992192299079256,0.8715202476009607
CD4.T.cells,256,0.05,0.001,0.9890117428147317,0.8678267678924991
